shape,advection,resolution,iterations,optimized,path,measured_trials,divergence_rms,divergence_max,density_weighted_divergence_rms,residual_relative,residual_rms,divergence_before_rms,mass_error_relative,density_min,density_max,wall_velocity_max,pressure_divergence_identity_rms,cpu_gpu_divergence_disagreement_rms,median_projection_ms,median_advection_ms,median_total_ms,cost_q25_ms,cost_q75_ms,l1_to_converged_same_method,l2_to_converged_same_method,l1_to_exact_velocity_same_method,velocity_relative_to_exact,reference_4096_8192_l1,reference_exact_velocity_l1
smooth,maccormack,32,8,True,smooth-r32-maccormack-i8-rep3,18,1.3113347652075975,3.9194872975349426,2.02207721443501,0.8976465448819264,78.68008640425535,1.4608587097906611,0.028070509973562165,1.3724608192010985e-27,0.9787381291389465,0.0,3.04998149058016e-07,3.811607721282236e-08,0.021504,0.006128,0.027663999999999998,0.027551999999999997,0.027767999999999998,0.02896938176220029,0.022956158234537234,0.02896938176220029,0.5222718914184548,0.0,0.0
smooth,maccormack,32,32,True,smooth-r32-maccormack-i32-rep3,18,0.9443350003472176,2.6958251762608825,1.4840818295330442,0.6464246138009334,56.66010163764948,1.4608587097906611,0.020545766082237276,1.3067768821512746e-27,0.9787381291389465,0.0,2.9910974992988603e-07,2.7222717199218395e-08,0.07083199999999999,0.005791999999999999,0.076592,0.076512,0.076952,0.021214620025214164,0.016851926582828452,0.021214620025214164,0.37547583099685317,0.0,0.0
smooth,maccormack,32,128,True,smooth-r32-maccormack-i128-rep3,18,0.2534607539587668,0.7800051180740866,0.4282213357895252,0.1735012533262491,15.207649024874815,1.4608587097906611,0.005802041368985552,1.2410929451014507e-27,0.9787381291389465,0.0,3.2094875824712257e-07,4.055086701350569e-09,0.267424,0.006192,0.27361599999999997,0.273512,0.273736,0.006021245742335341,0.004851969965354494,0.006021245742335341,0.10072762631335233,0.0,0.0
smooth,maccormack,32,512,True,smooth-r32-maccormack-i512-rep3,18,0.0014952825884897466,0.006455289500991057,0.0037230104680356845,0.0010236103725271858,0.08972100768830417,1.4608587097906611,5.015558482136485e-06,1.2410929451014507e-27,0.9787381291389465,0.0,3.2935525253175475e-07,3.3825952103535753e-09,1.0539839999999998,0.005952,1.059968,1.059024,1.0602479999999999,5.300669784910436e-05,0.0003452517622677668,5.300669784910436e-05,0.0006244220412111306,0.0,0.0
smooth,maccormack,32,2048,True,smooth-r32-maccormack-i2048-rep3,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-4.2097440715110565e-05,1.2410929451014507e-27,0.9787381291389465,0.0,3.3254748075040016e-07,3.253646818883928e-09,4.19712,0.006192,4.2033760000000004,4.203104,4.203832,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,maccormack,32,4096,True,smooth-r32-maccormack-i4096-rep3,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-4.2097440715110565e-05,1.2410929451014507e-27,0.9787381291389465,0.0,3.3254748075040016e-07,3.253646818883928e-09,8.389264,0.006111999999999999,8.395408,8.395271999999999,8.395664,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,maccormack,32,8192,True,smooth-r32-maccormack-i8192-rep3,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-4.2097440715110565e-05,1.2410929451014507e-27,0.9787381291389465,0.0,3.3254748075040016e-07,3.253646818883928e-09,16.773919999999997,0.006016,16.779952,16.779744,16.780279999999998,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,sl,64,-1,True,smooth-r64-sl-i-1-rep1,18,2.701503391972288e-08,4.76837158203125e-07,4.142608786014412e-10,1.0,1.6208625284952375e-06,2.7014375474920627e-08,-0.0004868965518023679,2.095896873098055e-28,0.9874136447906494,0.0,9.203439287865708e-11,9.203439287865708e-11,0.009056,0.00448,0.013472,0.012936,0.014143999999999997,1.6745436589060006e-11,2.84179905156172e-10,0.0,0.0,4.367404839648039e-12,1.6745436589088728e-11
smooth,sl,64,0,True,smooth-r64-sl-i0-rep1,18,1.4643845310602361,4.126967248975234,2.247137995881017,1.0,87.86307188447886,1.4643845314079809,0.03202126140660014,2.2625023318321896e-28,0.986986517906189,0.0,2.955132765361163e-08,2.955132765361163e-08,0.012575999999999999,0.004208,0.016848,0.01612,0.017336,0.0336056983864169,0.02677855919723844,0.03360569840307913,0.5833333360306485,4.367404839648039e-12,1.6745436589088728e-11
smooth,sl,64,8,True,smooth-r64-sl-i8-rep1,18,1.4275786155315433,4.692812025547028,2.1900754378266014,0.974865950066608,85.65471704843316,1.4643845314079809,0.03116959582501212,2.2069671789208114e-28,0.98686283826828,0.0,6.202379021623753e-07,3.1614526922190204e-08,0.043104,0.005039999999999999,0.047839999999999994,0.04668799999999999,0.04844,0.032727625715910376,0.026086391464878823,0.032727625732508654,0.568001387098183,4.367404839648039e-12,1.6745436589088728e-11
